sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2018,2,134,7636074.51,2018-02-01 00:00:00
AC,2018,2,135,5155232.57,2018-02-01 00:00:00
AC,2018,2,139,44592425.29,2018-02-01 00:00:00
AC,2018,2,211,0,2018-02-01 00:00:00
AC,2018,2,212,6844444.67,2018-02-01 00:00:00
AC,2018,2,219,6844444.67,2018-02-01 00:00:00
AC,2018,2,221,19490217.15,2018-02-01 00:00:00
AC,2018,2,222,5531989.55,2018-02-01 00:00:00
AC,2018,2,229,25022206.7,2018-02-01 00:00:00
AC,2018,2,239,1041356.34,2018-02-01 00:00:00
AC,2018,2,249,0,2018-02-01 00:00:00
AC,2018,2,399,89970422.78,2018-02-01 00:00:00
AC,2018,2,409,6506096.08,2018-02-01 00:00:00
AC,2018,2,419,191694.54,2018-02-01 00:00:00
AC,2018,2,429,687672.65,2018-02-01 00:00:00
AC,2018,2,439,0,2018-02-01 00:00:00
AC,2018,2,499,7385463.27,2018-02-01 00:00:00
AC,2018,2,999,97355886.05,2018-02-01 00:00:00
AC,2018,3,119,67490.07,2018-03-01 00:00:00
AC,2018,3,129,11264998.11,2018-03-01 00:00:00
AC,2018,3,131,15093437.86,2018-03-01 00:00:00
AC,2018,3,132,16197554.48,2018-03-01 00:00:00
AC,2018,3,133,385834.29,2018-03-01 00:00:00
AC,2018,3,134,6317283.48,2018-03-01 00:00:00
AC,2018,3,135,5863741.91,2018-03-01 00:00:00
AC,2018,3,139,43857852.02,2018-03-01 00:00:00
AC,2018,3,211,0,2018-03-01 00:00:00
AC,2018,3,212,12366634.8,2018-03-01 00:00:00
AC,2018,3,219,12366634.8,2018-03-01 00:00:00
AC,2018,3,221,23206605.93,2018-03-01 00:00:00
AC,2018,3,222,5392496.69,2018-03-01 00:00:00
AC,2018,3,229,28599102.62,2018-03-01 00:00:00
AC,2018,3,239,11777580.12,2018-03-01 00:00:00
AC,2018,3,249,0,2018-03-01 00:00:00
AC,2018,3,399,107933657.74,2018-03-01 00:00:00
AC,2018,3,409,7538970.33,2018-03-01 00:00:00
AC,2018,3,419,427314.86,2018-03-01 00:00:00
AC,2018,3,429,785603.18,2018-03-01 00:00:00
AC,2018,3,439,0,2018-03-01 00:00:00
AC,2018,3,499,8751888.37,2018-03-01 00:00:00
AC,2018,3,999,116685546.11,2018-03-01 00:00:00
AC,2018,4,119,53587.04,2018-04-01 00:00:00
AC,2018,4,129,12231360.08,2018-04-01 00:00:00
AC,2018,4,131,16356119.79,2018-04-01 00:00:00
AC,2018,4,132,19231446.37,2018-04-01 00:00:00
AC,2018,4,133,317568.31,2018-04-01 00:00:00
AC,2018,4,134,7477256.18,2018-04-01 00:00:00
AC,2018,4,135,5793844.19,2018-04-01 00:00:00
AC,2018,4,139,49176234.84,2018-04-01 00:00:00
AC,2018,4,211,0,2018-04-01 00:00:00
AC,2018,4,212,11004997.04,2018-04-01 00:00:00
AC,2018,4,219,11004997.04,2018-04-01 00:00:00
AC,2018,4,221,14555853.78,2018-04-01 00:00:00
AC,2018,4,222,3696901.59,2018-04-01 00:00:00
AC,2018,4,229,18252755.37,2018-04-01 00:00:00
AC,2018,4,239,541781.23,2018-04-01 00:00:00
AC,2018,4,249,0,2018-04-01 00:00:00
AC,2018,4,399,91260715.6,2018-04-01 00:00:00
AC,2018,4,409,7400363.45,2018-04-01 00:00:00
AC,2018,4,419,331984.41,2018-04-01 00:00:00
AC,2018,4,429,693499.49,2018-04-01 00:00:00
AC,2018,4,439,0,2018-04-01 00:00:00
AC,2018,4,499,8425847.35,2018-04-01 00:00:00
AC,2018,4,999,99686562.95,2018-04-01 00:00:00
AC,2018,5,119,74586.1,2018-05-01 00:00:00
AC,2018,5,129,12074358.72,2018-05-01 00:00:00
AC,2018,5,131,18810126.38,2018-05-01 00:00:00
AC,2018,5,132,18428165.08,2018-05-01 00:00:00
AC,2018,5,133,442283.12,2018-05-01 00:00:00
AC,2018,5,134,6879292.68,2018-05-01 00:00:00
AC,2018,5,135,5277849.38,2018-05-01 00:00:00
AC,2018,5,139,49837716.64,2018-05-01 00:00:00
AC,2018,5,211,0,2018-05-01 00:00:00
AC,2018,5,212,12391464.85,2018-05-01 00:00:00
AC,2018,5,219,12391464.85,2018-05-01 00:00:00
AC,2018,5,221,15549329.96,2018-05-01 00:00:00
AC,2018,5,222,3684843.27,2018-05-01 00:00:00
AC,2018,5,229,19234173.23,2018-05-01 00:00:00
AC,2018,5,239,6374587.59,2018-05-01 00:00:00
AC,2018,5,249,0,2018-05-01 00:00:00
AC,2018,5,399,99986887.13,2018-05-01 00:00:00
AC,2018,5,409,7470470.76,2018-05-01 00:00:00
AC,2018,5,419,403768.7,2018-05-01 00:00:00
AC,2018,5,429,697725.4,2018-05-01 00:00:00
AC,2018,5,439,0,2018-05-01 00:00:00
AC,2018,5,499,8571964.86,2018-05-01 00:00:00
AC,2018,5,999,108558851.99,2018-05-01 00:00:00
AC,2018,6,119,99267.56,2018-06-01 00:00:00
AC,2018,6,129,9690164.49,2018-06-01 00:00:00
AC,2018,6,131,14367186.54,2018-06-01 00:00:00
AC,2018,6,132,15833736.02,2018-06-01 00:00:00
AC,2018,6,133,388481.93,2018-06-01 00:00:00
AC,2018,6,134,6633741.22,2018-06-01 00:00:00
AC,2018,6,135,5653304.04,2018-06-01 00:00:00
AC,2018,6,139,42876449.75,2018-06-01 00:00:00
AC,2018,6,211,0,2018-06-01 00:00:00
AC,2018,6,212,12172889.26,2018-06-01 00:00:00
AC,2018,6,219,12172889.26,2018-06-01 00:00:00
AC,2018,6,221,17038685.98,2018-06-01 00:00:00
AC,2018,6,222,3474491.27,2018-06-01 00:00:00
AC,2018,6,229,20513177.25,2018-06-01 00:00:00
